n,dist_5cm,dist_10cm,dist_20cm,dist_30cm,dist_40cm,dist_50cm,dist_60cm,dist_70cm,dist_80cm
116,4.74,11.49,19.92,30.41,39.37,48.84,58.17,67.17,78.59
117,5.64,10.63,19.92,30.4,39.15,48.33,58.74,53.96,77.69
118,5.64,11.8,21.17,30.69,39.85,49.37,57.9,67.27,77.79
119,4.74,11.8,19.92,30.41,39.85,48.35,58.75,66.74,77.98
120,4.76,11.8,19.92,29.12,38.68,48.35,57.9,67.29,78.47
121,4.76,12.38,21.17,30.41,40.31,48.35,57.9,67.29,77.69
122,6.22,11.22,19.94,31.2,38.93,48.69,57.9,67.3,77.88
123,4.76,12.09,21.17,30.92,39.17,49.35,58.74,67.73,77.6
124,4.76,10.63,19.92,30.41,41.21,48.86,58.31,67.57,77.52
125,6.22,11.8,20.88,30.41,39.61,48.35,57.9,55.22,78.06
126,6.22,10.63,19.94,29.12,41.21,49.37,58.19,67.15,78.57
127,5.64,10.63,19.94,30.41,40.31,49.35,58.17,67.29,62.39
128,6.22,12.09,20.88,29.63,39.83,48.35,58.31,61.68,78.49
129,4.74,10.03,19.92,30.41,38.93,48.86,58.31,67.17,77.33
130,5.64,10.63,19.92,30.41,38.45,49.03,58.74,68.68,77.43
131,5.64,10.63,21.17,30.16,40.31,48.67,58.04,67.71,77.52
132,5.64,10.03,19.92,30.41,40.77,48.35,57.89,67.71,78.05
133,4.76,12.68,19.92,30.41,39.61,48.35,57.92,67.98,77.78
134,5.34,10.91,19.92,30.41,39.85,49.35,58.72,55.23,77.78
135,4.76,11.8,19.92,30.4,39.85,48.35,58.74,67.71,77.95
136,5.64,12.68,19.92,30.41,39.61,49.35,57.75,67.3,77.43
137,4.76,10.63,19.94,29.1,39.61,48.67,58.31,67.15,77.79
138,5.64,10.91,21.17,30.41,39.37,48.86,58.17,67.29,78.22
139,6.22,10.91,19.94,29.12,39.17,48.52,58.74,66.3,78.59
140,5.64,10.63,19.92,30.41,38.91,48.52,58.31,63.92,76.98
141,4.74,13.28,21.17,29.89,39.37,49.37,58.31,66.74,78.05
142,6.22,10.91,19.92,30.92,39.37,48.5,58.74,67.17,77.88
143,6.22,11.51,19.92,29.63,39.83,48.52,57.89,68.0,63.65
144,4.76,10.34,19.94,30.41,38.45,48.67,58.33,67.59,77.86
145,5.34,12.09,19.92,30.41,40.07,48.86,58.6,67.73,77.67
146,5.64,10.91,19.92,30.69,41.23,48.86,58.6,67.57,77.18
147,4.76,10.63,19.92,29.63,39.37,48.5,58.04,66.45,78.51
148,5.64,10.91,19.92,30.41,38.93,49.35,58.33,67.73,77.79
149,6.22,10.63,21.17,30.41,39.39,49.35,58.04,67.73,78.59
150,4.76,10.91,19.92,30.4,38.91,48.84,57.92,68.12,78.51
