n,5cm_raw,5cm_sqr,5cm_lin,10cm_raw,10cm_sqr,10cm_lin,30cm_raw,30cm_sqr,30cm_lin,20cm_raw,20cm_sqr,20cm_lin,40cm_raw,40cm_sqr,40cm_lin,50cm_raw,50cm_sqr,50cm_lin,60cm_raw,60cm_sqr,60cm_lin,70cm_raw,70cm_sqr,70cm_lin,80cm_raw,80cm_sqr,80cm_lin
40,5.304,4.477257,4.339691,11.135,9.871202,10.157488,31.212,30.521507,29.186159,20.094,19.397586,19.913486,38.624,40.101035,41.340879,47.787,49.235713,48.501244,56.049,57.712271,57.326395,66.793,65.992787,65.435509,73.542,78.596098,77.966148
41,5.593,3.589588,4.339691,12.002,11.359705,10.175389,28.883,28.917945,29.186159,20.094,19.397586,19.573369,42.687,41.072434,38.208219,48.144,48.692114,49.969119,54.791,58.899499,56.44925,67.201,68.716651,69.516917,76.109,77.018135,76.498273
42,5.304,4.477257,5.270539,10.846,10.151235,11.392651,29.138,28.917945,30.797241,19.448,19.397586,20.57582,39.984,40.334815,39.658193,46.835,48.873285,49.091975,54.655,57.255962,56.306043,66.657,67.353946,66.742275,73.542,79.74837,78.431572
43,5.593,4.477257,4.339691,12.002,10.466358,10.461804,30.43,29.986732,30.045403,19.771,19.397586,19.913486,38.862,38.66344,38.924256,48.127,49.235713,49.253083,54.655,56.818072,56.896773,67.218,69.306409,66.008338,76.551,80.827286,75.621128
44,5.304,5.383088,4.339691,12.002,10.168739,10.461804,28.9,28.917945,29.454673,19.771,19.733043,20.57582,39.763,38.17866,40.857554,47.226,47.008572,48.912966,54.774,57.255962,60.56646,64.43,67.05951,66.760176,75.667,79.952919,76.551976
45,5.304,4.77331,3.426745,11.424,11.061841,12.305598,29.41,30.521507,29.168258,20.094,19.397586,19.913486,38.845,41.558442,37.975507,47.804,50.686553,48.089523,58.82,57.109981,57.326395,66.793,68.864064,68.657673,76.925,81.199546,79.845744
46,5.304,4.477257,4.339691,11.135,10.168739,9.871073,30.447,30.521507,30.027502,19.771,19.397586,19.573369,38.165,41.072434,40.141518,46.835,49.235713,49.091975,55.063,57.109981,58.22144,64.566,66.452465,67.189798,74.868,82.577891,76.659381
47,6.171,4.477257,4.339691,10.557,9.871202,10.175389,30.447,28.917945,29.186159,19.771,19.397586,19.573369,39.304,38.17866,40.857554,47.787,48.293636,49.091975,57.29,57.712271,56.44925,64.719,58.643688,67.333005,77.809,80.901729,77.124805
48,5.304,5.365661,5.270539,12.58,9.853703,10.175389,28.883,29.986732,30.815142,19.771,19.397586,19.913486,39.984,40.101035,38.458832,47.634,50.142276,48.912966,54.383,60.85646,58.20354,66.096,66.434074,67.61942,76.381,77.53771,77.393319
49,5.304,3.572191,4.339691,10.846,11.359705,11.392651,31.212,31.609668,29.186159,20.094,19.733043,19.573369,38.607,40.101035,43.7038,48.127,49.235713,50.864165,55.607,56.653905,56.896773,64.447,66.139865,68.228051,74.341,78.96768,80.114257
50,5.304,5.383088,4.644007,10.829,10.151235,10.78402,29.716,29.185046,29.168258,19.771,19.397586,19.573369,41.276,40.586631,39.676094,47.787,49.235713,49.449993,55.216,57.420213,56.44925,63.461,69.306409,66.312653,73.882,77.611952,76.193957
51,5.304,5.383088,5.270539,12.002,11.061841,10.78402,30.43,28.917945,28.649132,20.077,19.397586,19.573369,40.46,41.558442,40.141518,46.053,50.686553,49.091975,55.76,57.712271,58.937477,65.977,69.767358,68.80088,74.8,80.92034,76.193957
52,5.304,4.477257,4.644007,10.829,9.853703,11.392651,32.504,28.90014,29.186159,19.771,19.397586,19.233251,40.443,41.072434,39.908806,47.957,47.859089,49.091975,55.488,57.255962,56.878872,64.005,69.011494,68.066943,78.234,80.790066,79.845744
53,6.188,4.477257,3.426745,10.846,10.764059,10.175389,30.447,30.521507,30.797241,19.448,19.397586,20.235702,39.525,41.072434,41.340879,47.957,49.253837,49.449993,55.488,56.818072,58.955378,66.793,66.011171,67.333005,71.383,77.611952,75.889642
54,5.304,4.477257,3.408844,10.54,9.871202,10.479705,30.447,30.539338,31.620683,20.077,19.733043,19.895585,38.845,39.399981,39.658193,47.634,48.710229,48.071623,58.276,56.36211,57.326395,63.869,65.992787,65.883031,74.426,78.96768,75.048299
55,5.304,4.477257,4.339691,10.557,10.746545,9.853173,30.447,30.521507,29.454673,19.771,19.397586,19.573369,40.443,38.66344,40.857554,48.127,52.484472,48.895065,54.791,57.584486,56.896773,63.75,67.05951,67.762627,77.35,78.484646,77.0353
56,6.188,4.477257,3.426745,12.002,9.853703,12.305598,28.9,30.521507,30.027502,20.723,19.397586,19.573369,39.984,40.586631,39.890905,48.127,48.275526,48.501244,58.684,59.210202,56.753566,64.294,67.961448,67.189798,77.707,56.435052,77.60813
57,4.42,4.77331,4.339691,10.557,10.151235,9.871073,30.447,29.452211,30.797241,20.094,19.733043,19.573369,39.746,41.072434,40.37423,47.243,48.293636,49.969119,55.063,58.899499,60.548559,67.643,67.05951,67.064492,73.1,76.814078,81.403123
58,5.304,5.383088,5.270539,11.424,9.853703,9.853173,28.9,28.917945,30.045403,20.094,19.733043,19.573369,41.48,38.645481,39.908806,48.127,49.253837,48.501244,56.049,57.255962,58.507855,66.521,67.648454,66.760176,77.809,78.558946,76.569877
59,5.304,4.477257,4.339691,10.829,9.871202,8.940226,28.9,30.521507,32.157711,20.094,19.062232,19.573369,37.706,41.072434,38.942157,47.43,47.877192,48.071623,57.443,57.547979,57.773918,66.657,67.188317,69.534818,78.132,81.10647,80.311168
60,5.304,4.77331,4.339691,12.002,10.151235,10.175389,30.702,31.877409,30.797241,19.771,19.715385,19.913486,39.304,41.558442,39.658193,46.835,48.710229,49.074074,54.791,57.858327,57.773918,65.824,66.912319,68.80088,78.489,77.036688,80.669186
61,5.304,3.885396,4.339691,12.002,9.871202,10.78402,29.648,29.737257,30.797241,19.771,19.715385,19.573369,39.287,39.867303,40.857554,47.634,49.779566,48.698155,55.216,57.109981,56.467151,66.521,67.37235,68.944088,77.452,80.92034,80.275366
62,5.304,5.383088,5.270539,12.002,11.359705,10.175389,30.43,28.917945,29.186159,20.077,19.397586,19.913486,39.083,39.849325,40.141518,47.634,48.492858,49.091975,56.882,57.255962,58.651062,65.263,69.767358,66.903383,76.806,76.647147,79.18341
63,5.304,4.477257,4.339691,11.135,9.871202,12.072886,29.648,30.521507,30.797241,20.094,19.733043,20.57582,39.066,37.694085,39.658193,47.634,47.859089,49.808011,56.049,57.274211,56.431349,66.81,65.533286,69.087295,74.868,80.213304,77.0353
64,6.188,4.477257,3.426745,10.557,9.853703,10.157488,28.9,30.521507,30.009601,19.771,19.397586,19.913486,37.689,43.865285,39.407581,48.127,48.873285,48.501244,56.049,56.818072,56.306043,67.49,68.550834,66.312653,75.225,80.808676,77.984049
65,5.304,4.477257,4.339691,10.54,11.359705,9.853173,29.665,28.90014,29.9917,20.094,19.733043,19.573369,40.902,40.101035,40.37423,46.444,48.293636,48.089523,55.063,56.818072,56.896773,64.413,66.452465,68.21015,76.568,77.129454,80.293267
66,4.42,3.572191,4.339691,10.557,10.746545,10.157488,30.43,28.917945,31.065755,20.094,19.062232,19.913486,39.066,39.148426,41.340879,48.127,49.235713,49.449993,55.624,57.730527,58.20354,65.416,66.452465,71.092197,75.225,81.776772,77.017399
67,5.304,4.477257,4.339691,9.673,9.556252,11.392651,30.43,28.917945,30.797241,19.771,19.079879,19.913486,40.443,41.558442,40.857554,46.835,48.275526,48.071623,54.808,56.216239,56.878872,63.886,69.47233,67.315104,75.582,79.841343,77.518625
68,6.188,4.477257,4.339691,10.54,10.168739,9.548857,29.92,29.986732,30.815142,20.094,19.397586,19.573369,39.287,39.13046,41.340879,48.144,48.293636,49.432092,55.488,56.818072,57.326395,64.702,66.893922,67.923735,73.899,78.986262,78.431572
69,5.304,4.477257,4.339691,11.424,9.871202,9.871073,30.702,31.34199,30.797241,20.094,19.397586,19.573369,42.67,42.170746,41.340879,46.053,48.891404,49.432092,55.216,56.818072,60.996082,65.535,69.011494,66.455861,73.984,81.311246,80.687087
70,5.593,5.383088,4.339691,10.557,10.168739,11.392651,29.92,31.34199,30.278115,20.094,20.386593,19.251152,39.984,39.867303,39.407581,49.487,51.031394,48.912966,54.791,56.672145,57.791819,65.127,66.617992,70.340359,75.242,76.461695,77.590229
71,5.304,4.477257,5.270539,10.557,12.025813,10.766119,30.43,29.701623,30.797241,20.094,19.733043,19.913486,40.885,41.072434,41.340879,47.226,47.442801,49.432092,54.655,59.063979,56.306043,65.263,66.581206,69.534818,75.684,76.072338,78.324166
72,5.304,4.477257,4.644007,10.846,10.168739,10.175389,28.883,30.539338,30.027502,20.094,19.397586,19.913486,39.746,37.694085,41.806303,47.974,48.275526,47.659902,54.791,58.899499,60.118937,65.127,69.158942,69.087295,74.783,81.18093,77.0353
